epoch=001  L2=0.021683  cosine=0.998008
epoch=002  L2=0.031451  cosine=0.995834
epoch=003  L2=0.031661  cosine=0.995787
epoch=004  L2=0.032664  cosine=0.995496
epoch=005  L2=0.038130  cosine=0.993866
epoch=006  L2=0.043888  cosine=0.991923
epoch=007  L2=0.045587  cosine=0.991307
epoch=008  L2=0.047609  cosine=0.990525
epoch=009  L2=0.053158  cosine=0.988230
epoch=010  L2=0.057396  cosine=0.986288
epoch=011  L2=0.065143  cosine=0.982375
epoch=012  L2=0.076019  cosine=0.975996
epoch=013  L2=0.082062  cosine=0.972124
epoch=014  L2=0.094831  cosine=0.963182
epoch=015  L2=0.095022  cosine=0.963065
epoch=016  L2=0.096946  cosine=0.961557
epoch=017  L2=0.092614  cosine=0.964606
epoch=018  L2=0.093945  cosine=0.963470
epoch=019  L2=0.092290  cosine=0.964648
epoch=020  L2=0.095867  cosine=0.962074
epoch=021  L2=0.102715  cosine=0.956758
epoch=022  L2=0.101419  cosine=0.957853
epoch=023  L2=0.102092  cosine=0.957236
epoch=024  L2=0.103505  cosine=0.955948
epoch=025  L2=0.101283  cosine=0.957697
epoch=026  L2=0.106487  cosine=0.953645
epoch=027  L2=0.106873  cosine=0.953286
epoch=028  L2=0.108714  cosine=0.951819
epoch=029  L2=0.108436  cosine=0.951844
epoch=030  L2=0.113188  cosine=0.947597
epoch=031  L2=0.111138  cosine=0.949497
epoch=032  L2=0.116375  cosine=0.944892
epoch=033  L2=0.116825  cosine=0.944503
epoch=034  L2=0.116999  cosine=0.944379
epoch=035  L2=0.119084  cosine=0.942604
epoch=036  L2=0.119236  cosine=0.942313
epoch=037  L2=0.118929  cosine=0.942707
epoch=038  L2=0.121320  cosine=0.940638
epoch=039  L2=0.123910  cosine=0.938245
epoch=040  L2=0.124015  cosine=0.938163
epoch=041  L2=0.130261  cosine=0.932655
epoch=042  L2=0.133317  cosine=0.929801
epoch=043  L2=0.133700  cosine=0.929517
epoch=044  L2=0.137738  cosine=0.925942
epoch=045  L2=0.140568  cosine=0.923075
epoch=046  L2=0.143801  cosine=0.919873
epoch=047  L2=0.145615  cosine=0.917995
epoch=048  L2=0.150060  cosine=0.913673
epoch=049  L2=0.150913  cosine=0.912513
epoch=050  L2=0.153780  cosine=0.909356
epoch=051  L2=0.149659  cosine=0.913539
epoch=052  L2=0.152447  cosine=0.910409
epoch=053  L2=0.153844  cosine=0.909459
epoch=054  L2=0.158856  cosine=0.904122
epoch=055  L2=0.162182  cosine=0.900835
epoch=056  L2=0.164135  cosine=0.898750
epoch=057  L2=0.167073  cosine=0.895505
epoch=058  L2=0.173656  cosine=0.888033
epoch=059  L2=0.173703  cosine=0.887856
epoch=060  L2=0.172996  cosine=0.888448
epoch=061  L2=0.173238  cosine=0.888230
epoch=062  L2=0.172720  cosine=0.888826
epoch=063  L2=0.172607  cosine=0.888956
epoch=064  L2=0.171851  cosine=0.890166
epoch=065  L2=0.173294  cosine=0.888626
epoch=066  L2=0.173570  cosine=0.888626
epoch=067  L2=0.173178  cosine=0.888947
epoch=068  L2=0.178790  cosine=0.882614
epoch=069  L2=0.179594  cosine=0.881898
epoch=070  L2=0.179259  cosine=0.882709
epoch=071  L2=0.180205  cosine=0.881947
epoch=072  L2=0.181888  cosine=0.880265
epoch=073  L2=0.180367  cosine=0.881780
epoch=074  L2=0.180460  cosine=0.881317
epoch=075  L2=0.177777  cosine=0.884370
epoch=076  L2=0.181105  cosine=0.879961
epoch=077  L2=0.184988  cosine=0.875610
epoch=078  L2=0.188318  cosine=0.871246
epoch=079  L2=0.188440  cosine=0.871131
epoch=080  L2=0.187969  cosine=0.871732
epoch=081  L2=0.188175  cosine=0.871624
epoch=082  L2=0.188495  cosine=0.871803
epoch=083  L2=0.188471  cosine=0.872191
epoch=084  L2=0.186296  cosine=0.874446
epoch=085  L2=0.185823  cosine=0.873741
epoch=086  L2=0.188209  cosine=0.871223
epoch=087  L2=0.192115  cosine=0.866588
epoch=088  L2=0.195857  cosine=0.862665
epoch=089  L2=0.196108  cosine=0.862234
epoch=090  L2=0.198044  cosine=0.859496
epoch=091  L2=0.201682  cosine=0.854871
epoch=092  L2=0.199475  cosine=0.857340
epoch=093  L2=0.200266  cosine=0.856256
epoch=094  L2=0.201616  cosine=0.854922
epoch=095  L2=0.200927  cosine=0.855962
epoch=096  L2=0.201341  cosine=0.855567
epoch=097  L2=0.202635  cosine=0.854401
epoch=098  L2=0.207439  cosine=0.849400
epoch=099  L2=0.200513  cosine=0.856967
epoch=100  L2=0.201950  cosine=0.855923
