epoch=001  L2=0.139326  cosine=0.990310
epoch=002  L2=0.227817  cosine=0.974547
epoch=003  L2=0.272023  cosine=0.964436
epoch=004  L2=0.305524  cosine=0.955614
epoch=005  L2=0.349172  cosine=0.942683
epoch=006  L2=0.349266  cosine=0.943093
epoch=007  L2=0.420332  cosine=0.921770
epoch=008  L2=0.429614  cosine=0.920786
epoch=009  L2=0.441742  cosine=0.917730
epoch=010  L2=0.500359  cosine=0.897583
epoch=011  L2=0.517485  cosine=0.894508
epoch=012  L2=0.521172  cosine=0.894848
epoch=013  L2=0.555973  cosine=0.882392
epoch=014  L2=0.586986  cosine=0.870685
