epoch=001  L2=0.007140  cosine=0.999783
epoch=002  L2=0.010129  cosine=0.999564
epoch=003  L2=0.012776  cosine=0.999306
epoch=004  L2=0.015390  cosine=0.998993
epoch=005  L2=0.017488  cosine=0.998700
epoch=006  L2=0.018803  cosine=0.998497
epoch=007  L2=0.018985  cosine=0.998468
epoch=008  L2=0.019561  cosine=0.998373
epoch=009  L2=0.021291  cosine=0.998073
epoch=010  L2=0.022211  cosine=0.997903
epoch=011  L2=0.022811  cosine=0.997788
epoch=012  L2=0.023845  cosine=0.997582
epoch=013  L2=0.024544  cosine=0.997438
epoch=014  L2=0.025717  cosine=0.997187
epoch=015  L2=0.026724  cosine=0.996963
epoch=016  L2=0.026567  cosine=0.996998
epoch=017  L2=0.025494  cosine=0.997236
epoch=018  L2=0.024889  cosine=0.997365
epoch=019  L2=0.024715  cosine=0.997403
epoch=020  L2=0.024699  cosine=0.997406
epoch=021  L2=0.024920  cosine=0.997359
epoch=022  L2=0.025576  cosine=0.997218
epoch=023  L2=0.025978  cosine=0.997129
epoch=024  L2=0.026219  cosine=0.997076
epoch=025  L2=0.027037  cosine=0.996891
epoch=026  L2=0.028798  cosine=0.996473
epoch=027  L2=0.030041  cosine=0.996162
epoch=028  L2=0.030796  cosine=0.995967
epoch=029  L2=0.031452  cosine=0.995794
epoch=030  L2=0.032190  cosine=0.995596
epoch=031  L2=0.033516  cosine=0.995227
epoch=032  L2=0.034901  cosine=0.994826
epoch=033  L2=0.035818  cosine=0.994552
epoch=034  L2=0.036414  cosine=0.994370
epoch=035  L2=0.036461  cosine=0.994355
epoch=036  L2=0.036505  cosine=0.994342
epoch=037  L2=0.036705  cosine=0.994279
epoch=038  L2=0.037137  cosine=0.994143
epoch=039  L2=0.037310  cosine=0.994088
epoch=040  L2=0.037477  cosine=0.994035
epoch=041  L2=0.038061  cosine=0.993849
epoch=042  L2=0.038298  cosine=0.993771
epoch=043  L2=0.038709  cosine=0.993637
epoch=044  L2=0.039689  cosine=0.993313
epoch=045  L2=0.041137  cosine=0.992818
epoch=046  L2=0.042365  cosine=0.992386
epoch=047  L2=0.043093  cosine=0.992125
epoch=048  L2=0.043570  cosine=0.991953
epoch=049  L2=0.043814  cosine=0.991868
epoch=050  L2=0.044069  cosine=0.991776
epoch=051  L2=0.044212  cosine=0.991724
epoch=052  L2=0.044786  cosine=0.991511
epoch=053  L2=0.045972  cosine=0.991062
epoch=054  L2=0.047204  cosine=0.990583
epoch=055  L2=0.048261  cosine=0.990161
epoch=056  L2=0.049199  cosine=0.989778
epoch=057  L2=0.049765  cosine=0.989544
epoch=058  L2=0.052047  cosine=0.988548
epoch=059  L2=0.054420  cosine=0.987473
epoch=060  L2=0.055808  cosine=0.986821
epoch=061  L2=0.056331  cosine=0.986568
epoch=062  L2=0.056565  cosine=0.986452
epoch=063  L2=0.057415  cosine=0.986047
epoch=064  L2=0.058431  cosine=0.985560
epoch=065  L2=0.059341  cosine=0.985118
epoch=066  L2=0.060163  cosine=0.984714
epoch=067  L2=0.061141  cosine=0.984224
epoch=068  L2=0.062228  cosine=0.983673
epoch=069  L2=0.063493  cosine=0.983017
epoch=070  L2=0.064260  cosine=0.982615
epoch=071  L2=0.064745  cosine=0.982358
epoch=072  L2=0.064739  cosine=0.982364
epoch=073  L2=0.065487  cosine=0.981964
epoch=074  L2=0.065964  cosine=0.981711
epoch=075  L2=0.066634  cosine=0.981352
epoch=076  L2=0.067801  cosine=0.980726
epoch=077  L2=0.069629  cosine=0.979722
epoch=078  L2=0.070963  cosine=0.978976
epoch=079  L2=0.072975  cosine=0.977810
epoch=080  L2=0.074333  cosine=0.977010
epoch=081  L2=0.075160  cosine=0.976517
epoch=082  L2=0.075613  cosine=0.976242
epoch=083  L2=0.075553  cosine=0.976279
epoch=084  L2=0.078408  cosine=0.974481
epoch=085  L2=0.080592  cosine=0.973062
epoch=086  L2=0.081524  cosine=0.972436
epoch=087  L2=0.082287  cosine=0.971931
epoch=088  L2=0.081995  cosine=0.972112
epoch=089  L2=0.081347  cosine=0.972526
epoch=090  L2=0.081357  cosine=0.972515
epoch=091  L2=0.082104  cosine=0.972026
epoch=092  L2=0.082965  cosine=0.971462
epoch=093  L2=0.083533  cosine=0.971071
epoch=094  L2=0.083318  cosine=0.971207
epoch=095  L2=0.082310  cosine=0.971872
epoch=096  L2=0.081548  cosine=0.972373
epoch=097  L2=0.082573  cosine=0.971685
epoch=098  L2=0.083276  cosine=0.971205
epoch=099  L2=0.083421  cosine=0.971074
epoch=100  L2=0.083871  cosine=0.970749
