epoch=001  L2=0.011600  cosine=0.999431
epoch=002  L2=0.015772  cosine=0.998944
epoch=003  L2=0.018916  cosine=0.998480
epoch=004  L2=0.022995  cosine=0.997756
epoch=005  L2=0.027792  cosine=0.996727
epoch=006  L2=0.030806  cosine=0.995988
epoch=007  L2=0.031792  cosine=0.995737
epoch=008  L2=0.030412  cosine=0.996101
epoch=009  L2=0.031157  cosine=0.995901
epoch=010  L2=0.030813  cosine=0.995983
epoch=011  L2=0.032209  cosine=0.995611
epoch=012  L2=0.033766  cosine=0.995180
epoch=013  L2=0.035228  cosine=0.994755
epoch=014  L2=0.039013  cosine=0.993569
epoch=015  L2=0.040171  cosine=0.993184
epoch=016  L2=0.039829  cosine=0.993295
epoch=017  L2=0.039279  cosine=0.993474
epoch=018  L2=0.039079  cosine=0.993540
epoch=019  L2=0.039110  cosine=0.993535
epoch=020  L2=0.038358  cosine=0.993790
epoch=021  L2=0.038093  cosine=0.993878
epoch=022  L2=0.042487  cosine=0.992403
epoch=023  L2=0.044652  cosine=0.991621
epoch=024  L2=0.047661  cosine=0.990456
epoch=025  L2=0.049684  cosine=0.989629
epoch=026  L2=0.050302  cosine=0.989372
epoch=027  L2=0.051308  cosine=0.988952
epoch=028  L2=0.052429  cosine=0.988468
epoch=029  L2=0.053457  cosine=0.988017
epoch=030  L2=0.057226  cosine=0.986294
epoch=031  L2=0.056403  cosine=0.986668
epoch=032  L2=0.053260  cosine=0.988081
epoch=033  L2=0.053063  cosine=0.988174
epoch=034  L2=0.054304  cosine=0.987630
epoch=035  L2=0.057545  cosine=0.986126
epoch=036  L2=0.062575  cosine=0.983567
epoch=037  L2=0.065673  cosine=0.981914
epoch=038  L2=0.065199  cosine=0.982163
epoch=039  L2=0.063921  cosine=0.982857
epoch=040  L2=0.063752  cosine=0.982947
epoch=041  L2=0.064575  cosine=0.982505
epoch=042  L2=0.066993  cosine=0.981186
epoch=043  L2=0.071596  cosine=0.978567
epoch=044  L2=0.074094  cosine=0.977064
epoch=045  L2=0.075499  cosine=0.976182
epoch=046  L2=0.077344  cosine=0.974993
epoch=047  L2=0.078320  cosine=0.974362
epoch=048  L2=0.080333  cosine=0.973095
epoch=049  L2=0.083387  cosine=0.971111
epoch=050  L2=0.084380  cosine=0.970476
epoch=051  L2=0.084376  cosine=0.970486
epoch=052  L2=0.083675  cosine=0.970949
epoch=053  L2=0.083692  cosine=0.970939
epoch=054  L2=0.088478  cosine=0.967690
epoch=055  L2=0.091624  cosine=0.965505
epoch=056  L2=0.093746  cosine=0.964001
epoch=057  L2=0.095227  cosine=0.962946
epoch=058  L2=0.095209  cosine=0.963036
epoch=059  L2=0.096244  cosine=0.962320
epoch=060  L2=0.101561  cosine=0.958278
epoch=061  L2=0.102419  cosine=0.957481
epoch=062  L2=0.102516  cosine=0.957329
epoch=063  L2=0.099635  cosine=0.959585
epoch=064  L2=0.097807  cosine=0.960976
epoch=065  L2=0.100081  cosine=0.959187
epoch=066  L2=0.104429  cosine=0.955647
epoch=067  L2=0.110119  cosine=0.950904
epoch=068  L2=0.116527  cosine=0.945364
epoch=069  L2=0.118570  cosine=0.943524
epoch=070  L2=0.117324  cosine=0.944599
epoch=071  L2=0.118011  cosine=0.943936
epoch=072  L2=0.117937  cosine=0.944078
epoch=073  L2=0.117704  cosine=0.944386
epoch=074  L2=0.117666  cosine=0.944422
epoch=075  L2=0.117172  cosine=0.944829
epoch=076  L2=0.116914  cosine=0.945032
epoch=077  L2=0.117105  cosine=0.944817
epoch=078  L2=0.123507  cosine=0.939211
epoch=079  L2=0.127192  cosine=0.935920
epoch=080  L2=0.128638  cosine=0.934613
epoch=081  L2=0.130439  cosine=0.932859
epoch=082  L2=0.129753  cosine=0.933620
epoch=083  L2=0.129948  cosine=0.933515
epoch=084  L2=0.131541  cosine=0.932043
epoch=085  L2=0.132285  cosine=0.931312
epoch=086  L2=0.133336  cosine=0.930322
epoch=087  L2=0.128407  cosine=0.935210
epoch=088  L2=0.127395  cosine=0.936243
epoch=089  L2=0.127555  cosine=0.936123
epoch=090  L2=0.127966  cosine=0.935818
epoch=091  L2=0.127379  cosine=0.936386
epoch=092  L2=0.126675  cosine=0.937023
epoch=093  L2=0.127346  cosine=0.936426
epoch=094  L2=0.127336  cosine=0.936333
epoch=095  L2=0.129306  cosine=0.934495
epoch=096  L2=0.131928  cosine=0.932088
epoch=097  L2=0.133027  cosine=0.931093
epoch=098  L2=0.132487  cosine=0.931529
epoch=099  L2=0.133224  cosine=0.930747
epoch=100  L2=0.134558  cosine=0.929413
