epoch=001  L2=0.026454  cosine=0.997066
epoch=002  L2=0.044159  cosine=0.991922
epoch=003  L2=0.040041  cosine=0.993319
epoch=004  L2=0.040372  cosine=0.993186
epoch=005  L2=0.049178  cosine=0.989879
epoch=006  L2=0.066812  cosine=0.981687
epoch=007  L2=0.062631  cosine=0.983720
epoch=008  L2=0.064015  cosine=0.983039
epoch=009  L2=0.064829  cosine=0.982635
epoch=010  L2=0.065328  cosine=0.982335
epoch=011  L2=0.066995  cosine=0.981488
epoch=012  L2=0.068437  cosine=0.980773
epoch=013  L2=0.074520  cosine=0.977313
epoch=014  L2=0.078967  cosine=0.974612
epoch=015  L2=0.077254  cosine=0.975634
epoch=016  L2=0.079251  cosine=0.974566
epoch=017  L2=0.083264  cosine=0.971902
epoch=018  L2=0.084859  cosine=0.970702
epoch=019  L2=0.086747  cosine=0.969452
epoch=020  L2=0.088399  cosine=0.968149
epoch=021  L2=0.093543  cosine=0.964711
epoch=022  L2=0.096784  cosine=0.962381
epoch=023  L2=0.098078  cosine=0.961554
epoch=024  L2=0.099386  cosine=0.960625
epoch=025  L2=0.102955  cosine=0.957735
epoch=026  L2=0.104594  cosine=0.956036
epoch=027  L2=0.103381  cosine=0.956997
epoch=028  L2=0.110913  cosine=0.950842
epoch=029  L2=0.110242  cosine=0.951379
epoch=030  L2=0.115180  cosine=0.947015
epoch=031  L2=0.119935  cosine=0.942796
epoch=032  L2=0.123621  cosine=0.939947
epoch=033  L2=0.125406  cosine=0.938209
epoch=034  L2=0.124181  cosine=0.939481
epoch=035  L2=0.130115  cosine=0.934024
epoch=036  L2=0.128000  cosine=0.936128
epoch=037  L2=0.129610  cosine=0.934588
epoch=038  L2=0.137606  cosine=0.926921
epoch=039  L2=0.139326  cosine=0.925350
epoch=040  L2=0.138183  cosine=0.926633
epoch=041  L2=0.139543  cosine=0.925344
epoch=042  L2=0.142243  cosine=0.922637
epoch=043  L2=0.141202  cosine=0.923900
epoch=044  L2=0.141053  cosine=0.924003
epoch=045  L2=0.141225  cosine=0.923963
epoch=046  L2=0.147597  cosine=0.917979
epoch=047  L2=0.156134  cosine=0.909091
epoch=048  L2=0.157782  cosine=0.907459
epoch=049  L2=0.164661  cosine=0.900303
epoch=050  L2=0.166693  cosine=0.897915
epoch=051  L2=0.168211  cosine=0.896458
epoch=052  L2=0.168211  cosine=0.895571
epoch=053  L2=0.166625  cosine=0.897604
epoch=054  L2=0.170554  cosine=0.892964
epoch=055  L2=0.172572  cosine=0.890890
epoch=056  L2=0.173201  cosine=0.890155
epoch=057  L2=0.177416  cosine=0.885388
epoch=058  L2=0.178232  cosine=0.884230
epoch=059  L2=0.175679  cosine=0.887121
epoch=060  L2=0.179418  cosine=0.883358
epoch=061  L2=0.177153  cosine=0.885839
epoch=062  L2=0.174082  cosine=0.889300
epoch=063  L2=0.182388  cosine=0.880066
epoch=064  L2=0.186187  cosine=0.875462
epoch=065  L2=0.188726  cosine=0.872087
epoch=066  L2=0.191850  cosine=0.868437
epoch=067  L2=0.193072  cosine=0.866944
epoch=068  L2=0.192095  cosine=0.867792
epoch=069  L2=0.198752  cosine=0.860261
epoch=070  L2=0.202205  cosine=0.856361
epoch=071  L2=0.203596  cosine=0.854637
epoch=072  L2=0.205303  cosine=0.852239
epoch=073  L2=0.208559  cosine=0.848026
epoch=074  L2=0.210244  cosine=0.846447
epoch=075  L2=0.207499  cosine=0.850294
epoch=076  L2=0.219024  cosine=0.837250
epoch=077  L2=0.218782  cosine=0.836807
epoch=078  L2=0.224421  cosine=0.830914
epoch=079  L2=0.227337  cosine=0.828218
epoch=080  L2=0.225474  cosine=0.830157
epoch=081  L2=0.226957  cosine=0.828404
epoch=082  L2=0.219226  cosine=0.837779
epoch=083  L2=0.220658  cosine=0.836138
epoch=084  L2=0.219557  cosine=0.837345
epoch=085  L2=0.235687  cosine=0.818765
epoch=086  L2=0.238338  cosine=0.815948
epoch=087  L2=0.228812  cosine=0.826959
epoch=088  L2=0.223946  cosine=0.832793
epoch=089  L2=0.210640  cosine=0.847721
epoch=090  L2=0.206104  cosine=0.853209
epoch=091  L2=0.211876  cosine=0.847481
epoch=092  L2=0.211872  cosine=0.846795
epoch=093  L2=0.213906  cosine=0.844542
epoch=094  L2=0.223913  cosine=0.832300
epoch=095  L2=0.231326  cosine=0.823642
epoch=096  L2=0.234655  cosine=0.819394
epoch=097  L2=0.238776  cosine=0.814623
epoch=098  L2=0.242538  cosine=0.811013
epoch=099  L2=0.246721  cosine=0.805937
epoch=100  L2=0.263858  cosine=0.785419
